Word,Occurrence,% Frequency
speak,214,0.03804437680999678
vasili,214,0.03804437680999678
drawing,213,0.037866599348267825
crowd,211,0.03751104442480992
brought,211,0.03751104442480992
days,211,0.03751104442480992
wounded,210,0.03733326696308095
cried,210,0.03733326696308095
leave,210,0.03733326696308095
de,210,0.03733326696308095
added,210,0.03733326696308095
power,209,0.037155489501351995
morning,209,0.037155489501351995
anatole,208,0.036977712039623044
enemy,207,0.036799934577894086
near,207,0.036799934577894086
does,206,0.03662215711616512
road,204,0.03626660219270721
mother,204,0.03626660219270721
themselves,203,0.036088824730978256
got,203,0.036088824730978256
taking,203,0.036088824730978256
really,203,0.036088824730978256
orders,202,0.0359110472692493
received,200,0.03555549234579139
ask,200,0.03555549234579139
white,199,0.035377714884062425
fire,198,0.03519993742233347
lay,198,0.03519993742233347
understood,198,0.03519993742233347
cant,196,0.03484438249887556
action,195,0.0346666050371466
happy,194,0.034488827575417644
stopped,193,0.034311050113688686
next,193,0.034311050113688686
passed,191,0.03395549519023077
tried,189,0.03359994026677286
rose,189,0.03359994026677286
talking,189,0.03359994026677286
wished,189,0.03359994026677286
several,188,0.033422162805043905
death,188,0.033422162805043905
fellow,188,0.033422162805043905
ah,188,0.033422162805043905
since,188,0.033422162805043905
soldier,187,0.03324438534331494
movement,187,0.03324438534331494
wish,187,0.03324438534331494
beside,185,0.03288883041985703
end,184,0.032711052958128074
each,182,0.03235549803467016
wanted,182,0.03235549803467016
turning,181,0.03217772057294121
remained,180,0.031999943111212244
noticed,179,0.031822165649483286
small,179,0.031822165649483286
given,179,0.031822165649483286
anyone,179,0.031822165649483286
impossible,178,0.031644388187754335
arms,178,0.031644388187754335
heart,177,0.03146661072602538
nor,177,0.03146661072602538
longer,176,0.03128883326429642
past,175,0.031111055802567462
arm,175,0.031111055802567462
forward,174,0.030933278340838505
far,174,0.030933278340838505
till,174,0.030933278340838505
home,173,0.03075550087910955
matter,173,0.03075550087910955
around,173,0.03075550087910955
dinner,172,0.03057772341738059
possible,172,0.03057772341738059
woman,172,0.03057772341738059
seeing,171,0.030399945955651632
large,171,0.030399945955651632
thousand,171,0.030399945955651632
news,171,0.030399945955651632
few,170,0.030222168493922678
became,170,0.030222168493922678
happened,168,0.029866613570464766
spoke,168,0.029866613570464766
friend,168,0.029866613570464766
pierres,167,0.029688836108735808
conversation,167,0.029688836108735808
tears,166,0.029511058647006847
half,166,0.029511058647006847
russia,166,0.029511058647006847
ready,165,0.029333281185277896
silent,164,0.029155503723548935
trying,164,0.029155503723548935
cannot,164,0.029155503723548935
world,163,0.028977726261819978
coming,163,0.028977726261819978
better,163,0.028977726261819978
gone,162,0.028799948800091024
find,162,0.028799948800091024
bolkonski,161,0.028622171338362066
itself,160,0.028444393876633105
sound,160,0.028444393876633105
strange,159,0.02826661641490415
adjutant,159,0.02826661641490415
faces,159,0.02826661641490415
standing,158,0.028088838953175193
else,158,0.028088838953175193
set,158,0.028088838953175193
history,157,0.02791106149144624
met,157,0.02791106149144624
terrible,157,0.02791106149144624
honor,157,0.02791106149144624
speaking,156,0.02773328402971728
full,156,0.02773328402971728
fact,154,0.02737772910625937
light,154,0.02737772910625937
almost,154,0.02737772910625937
soul,154,0.02737772910625937
times,154,0.02737772910625937
glanced,153,0.027199951644530408
hair,153,0.027199951644530408
answered,153,0.027199951644530408
free,150,0.02666661925934354
kept,150,0.02666661925934354
smiled,150,0.02666661925934354
wont,149,0.026488841797614585
afraid,148,0.026311064335885627
myself,148,0.026311064335885627
russians,147,0.026133286874156666
reply,147,0.026133286874156666
tone,147,0.026133286874156666
known,147,0.026133286874156666
above,146,0.02595550941242771
reached,146,0.02595550941242771
repeated,146,0.02595550941242771
cause,146,0.02595550941242771
returned,146,0.02595550941242771
village,146,0.02595550941242771
ever,146,0.02595550941242771
different,145,0.025777731950698754
women,144,0.025599954488969796
smiling,144,0.025599954488969796
field,143,0.025422177027240842
voices,143,0.025422177027240842
less,143,0.025422177027240842
answer,143,0.025422177027240842
together,142,0.02524439956551188
held,142,0.02524439956551188
mademoiselle,142,0.02524439956551188
kind,141,0.02506662210378293
doing,141,0.02506662210378293
brother,141,0.02506662210378293
help,141,0.02506662210378293
lost,140,0.02488884464205397
hear,140,0.02488884464205397
state,139,0.02471106718032501
especially,139,0.02471106718032501
often,139,0.02471106718032501
emperors,138,0.024533289718596057
quickly,138,0.024533289718596057
helene,138,0.024533289718596057
self,138,0.024533289718596057
cold,138,0.024533289718596057
family,138,0.024533289718596057
certain,137,0.0243555122568671
red,137,0.0243555122568671
husband,137,0.0243555122568671
steps,137,0.0243555122568671
necessary,137,0.0243555122568671
listened,136,0.024177734795138142
force,136,0.024177734795138142
bagration,135,0.023999957333409185
please,135,0.023999957333409185
staff,135,0.023999957333409185
twenty,135,0.023999957333409185
air,135,0.023999957333409185
followed,135,0.023999957333409185
sides,135,0.023999957333409185
alpatych,134,0.023822179871680227
society,134,0.023822179871680227
black,133,0.023644402409951273
bridge,133,0.023644402409951273
later,133,0.023644402409951273
feel,133,0.023644402409951273
sometimes,133,0.023644402409951273
used,132,0.023466624948222315
merely,131,0.023288847486493357
command,130,0.0231110700247644
read,130,0.0231110700247644
important,130,0.0231110700247644
immediately,130,0.0231110700247644
waiting,130,0.0231110700247644
happiness,129,0.022933292563035442
glad,129,0.022933292563035442
third,129,0.022933292563035442
service,129,0.022933292563035442
killed,129,0.022933292563035442
girl,129,0.022933292563035442
boy,128,0.022755515101306488
best,128,0.022755515101306488
daughter,128,0.022755515101306488
remember,127,0.02257773763957753
either,127,0.02257773763957753
high,127,0.02257773763957753
someone,126,0.022399960177848573
present,126,0.022399960177848573
reason,126,0.022399960177848573
money,125,0.022222182716119615
fell,125,0.022222182716119615
contrary,125,0.022222182716119615
smoke,124,0.02204440525439066
excellency,124,0.02204440525439066
grew,124,0.02204440525439066
bad,124,0.02204440525439066
doctor,124,0.02204440525439066
pleasure,124,0.02204440525439066
years,124,0.02204440525439066
believe,124,0.02204440525439066
peasants,123,0.0218666277926617
course,123,0.0218666277926617
appeared,123,0.0218666277926617
camp,123,0.0218666277926617
hundred,122,0.021688850330932746
fine,122,0.021688850330932746
thinking,122,0.021688850330932746
open,122,0.021688850330932746
become,122,0.021688850330932746
events,121,0.021511072869203788
town,121,0.021511072869203788
clear,121,0.021511072869203788
presence,121,0.021511072869203788
work,121,0.021511072869203788
historians,120,0.02133329540747483
loved,120,0.02133329540747483
affairs,120,0.02133329540747483
pale,120,0.02133329540747483
mikhaylovna,120,0.02133329540747483
former,120,0.02133329540747483
holding,120,0.02133329540747483
generals,120,0.02133329540747483
coat,120,0.02133329540747483
usual,120,0.02133329540747483
says,120,0.02133329540747483
true,120,0.02133329540747483
line,119,0.021155517945745873
strength,119,0.021155517945745873
prisoners,119,0.021155517945745873
alexander,119,0.021155517945745873
second,119,0.021155517945745873
moving,119,0.021155517945745873
name,119,0.021155517945745873
kissed,119,0.021155517945745873
bed,118,0.02097774048401692
law,118,0.02097774048401692
thoughts,118,0.02097774048401692
short,118,0.02097774048401692
perhaps,118,0.02097774048401692
expressed,118,0.02097774048401692
carriage,117,0.02079996302228796
attention,117,0.02079996302228796
ones,117,0.02079996302228796
frightened,117,0.02079996302228796
yourself,117,0.02079996302228796
bourienne,116,0.020622185560559003
across,116,0.020622185560559003
opened,116,0.020622185560559003
military,116,0.020622185560559003
natashas,115,0.020444408098830046
everybody,115,0.020444408098830046
ordered,114,0.020266630637101088
freedom,114,0.020266630637101088
whose,114,0.020266630637101088
ball,114,0.020266630637101088
lips,114,0.020266630637101088
marya,114,0.020266630637101088
study,113,0.020088853175372134
pavlovna,113,0.020088853175372134
human,112,0.019911075713643176
window,112,0.019911075713643176
besides,112,0.019911075713643176
feet,112,0.019911075713643176
fear,112,0.019911075713643176
drew,112,0.019911075713643176
led,111,0.01973329825191422
show,111,0.01973329825191422
hussars,110,0.01955552079018526
showed,110,0.01955552079018526
peace,110,0.01955552079018526
activity,109,0.019377743328456307
making,109,0.019377743328456307
hes,109,0.019377743328456307
angry,109,0.019377743328456307
borodino,108,0.01919996586672735
four,108,0.01919996586672735
ground,108,0.01919996586672735
handsome,108,0.01919996586672735
close,108,0.01919996586672735
dark,108,0.01919996586672735
rest,108,0.01919996586672735
turn,107,0.01902218840499839
giving,107,0.01902218840499839
able,107,0.01902218840499839
need,107,0.01902218840499839
shoulders,107,0.01902218840499839
company,107,0.01902218840499839
beyond,106,0.018844410943269434
im,106,0.018844410943269434
asking,106,0.018844410943269434
